Employee_ID,Age,Experience,Monthly_Bonus,Department,Education,Promoted
50123,44.0,16.0,11018.0,Web,Bachelor,0
50124,39.0,10.0,8711.0,Data,Bachelor,0
50125,41.0,11.0,7314.0,AI,PhD,1
50126,43.0,12.0,6464.0,AI,Master,1
50127,57.0,30.0,9119.0,Software,Bachelor,1
50128,60.0,30.0,6484.0,Web,Master,0
50129,56.0,28.0,9244.0,Data,Master,0
50130,49.0,20.0,2000.0,Software,Master,0
50131,21.0,0.0,12140.0,Data,Master,0
50132,38.0,13.0,7224.0,AI,Bachelor,0
50133,51.0,22.0,9031.0,Web,Bachelor,0
50134,36.0,6.0,9671.0,Data,Bachelor,1
50135,47.0,26.0,14458.0,Web,Bachelor,0
50136,55.0,25.0,6062.0,Software,Bachelor,0
50137,40.0,16.0,7083.0,Data,Master,0
50138,46.0,19.0,6271.0,AI,Master,0
50139,45.0,18.0,9840.0,Web,Master,1
50140,48.0,18.0,5237.0,Web,,1
50141,31.0,5.0,9551.0,Software,PhD,0
50142,27.0,2.0,11564.0,Web,Bachelor,1
50143,31.0,10.0,11814.0,Data,Bachelor,0
50144,38.0,17.0,7583.0,Data,Bachelor,1
50145,58.0,30.0,11775.0,AI,Bachelor,1
50146,21.0,0.0,6656.0,AI,Master,1
50147,50.0,28.0,6156.0,Software,Bachelor,0
50148,42.0,21.0,14161.0,Software,Master,0
50149,49.0,20.0,14694.0,Data,Bachelor,0
50150,21.0,0.0,5511.0,Software,Master,0
50151,23.0,0.0,2897.0,Software,Bachelor,0
50152,47.0,24.0,6106.0,Data,Bachelor,0
50153,29.0,0.0,9090.0,Cloud,PhD,0
50154,26.0,2.0,8653.0,Web,Master,0
50155,36.0,9.0,11294.0,Data,Master,1
50156,23.0,0.0,6305.0,Data,Master,0
50157,,25.0,12741.0,Data,Bachelor,0
50158,27.0,0.0,14345.0,AI,PhD,0
50159,31.0,8.0,5975.0,Software,Bachelor,0
50160,37.0,16.0,14790.0,Data,Master,1
50161,45.0,14.0,7576.0,Data,Master,0
50162,40.0,14.0,6531.0,Software,Bachelor,0
50163,46.0,15.0,9688.0,Software,Bachelor,0
50164,31.0,4.0,8931.0,Data,Bachelor,0
50165,45.0,23.0,8054.0,Cloud,Bachelor,0
50166,45.0,21.0,11545.0,Cloud,Bachelor,0
50167,29.0,7.0,5866.0,Cloud,PhD,0
50168,45.0,20.0,9579.0,Data,Master,0
50169,32.0,8.0,5521.0,Web,Bachelor,0
50170,,6.0,9555.0,Software,Bachelor,0
50171,45.0,19.0,,AI,Bachelor,1
50172,36.0,13.0,7811.0,Data,PhD,0
50173,43.0,21.0,9681.0,AI,Bachelor,0
50174,58.0,28.0,8324.0,AI,Master,1
50175,57.0,30.0,10055.0,Web,Master,1
50176,40.0,16.0,2000.0,Cloud,Master,0
50177,29.0,1.0,3958.0,Cloud,Bachelor,0
50178,53.0,30.0,9388.0,AI,Master,0
50179,33.0,11.0,9333.0,Cloud,Bachelor,0
50180,48.0,20.0,11977.0,AI,PhD,1
50181,25.0,2.0,,AI,Bachelor,0
50182,47.0,19.0,4846.0,Software,Bachelor,0
50183,39.0,13.0,6725.0,AI,Bachelor,0
50184,56.0,25.0,2346.0,,Bachelor,0
50185,28.0,7.0,9140.0,Software,Bachelor,0
50186,22.0,0.0,5148.0,Data,Bachelor,0
50187,40.0,15.0,,Data,Master,0
50188,43.0,16.0,9814.0,Cloud,Bachelor,1
50189,36.0,15.0,4415.0,Web,Bachelor,0
50190,56.0,30.0,11846.0,Software,Master,0
50191,52.0,29.0,6978.0,Software,Bachelor,1
50192,43.0,16.0,9656.0,Data,Bachelor,0
50193,35.0,7.0,10076.0,Software,Bachelor,0
50194,21.0,0.0,10879.0,Software,Bachelor,0
50195,25.0,1.0,5730.0,Web,Bachelor,0
50196,58.0,30.0,8287.0,Web,PhD,0
50197,49.0,23.0,4997.0,AI,Bachelor,0
50198,50.0,19.0,8436.0,Web,Bachelor,0
50199,46.0,17.0,11385.0,Data,Master,0
50200,36.0,10.0,10394.0,Cloud,Master,0
50201,52.0,27.0,9107.0,Data,Master,0
50202,28.0,3.0,9463.0,Software,Bachelor,0
50203,53.0,24.0,4430.0,Web,Bachelor,0
50204,21.0,0.0,2000.0,Web,Bachelor,0
50205,25.0,0.0,10987.0,AI,Bachelor,0
50206,58.0,30.0,2000.0,AI,Master,0
50207,50.0,26.0,10288.0,AI,Master,0
50208,54.0,28.0,7541.0,Software,Bachelor,1
50209,46.0,22.0,6460.0,Software,Bachelor,0
50210,26.0,0.0,6201.0,Web,Master,0
50211,29.0,1.0,7307.0,Software,Bachelor,0
50212,27.0,0.0,10513.0,Data,Master,0
50213,34.0,9.0,5091.0,Data,Bachelor,0
50214,,24.0,5033.0,Software,Master,0
50215,38.0,10.0,6795.0,Cloud,Bachelor,0
50216,26.0,0.0,12383.0,Data,PhD,0
50217,39.0,8.0,10653.0,,Bachelor,0
50218,43.0,12.0,7347.0,Cloud,Master,0
50219,25.0,4.0,2638.0,Data,Bachelor,1
50220,35.0,12.0,10238.0,Software,Bachelor,0
50221,54.0,26.0,13772.0,Cloud,Bachelor,1
50222,44.0,22.0,9371.0,Cloud,Bachelor,0
50223,56.0,30.0,2000.0,Software,Bachelor,1
50224,46.0,24.0,8559.0,Cloud,PhD,0
50225,45.0,21.0,11429.0,Software,Bachelor,0
50226,33.0,4.0,6495.0,Software,Master,0
50227,37.0,12.0,7989.0,Software,Master,0
50228,33.0,3.0,8055.0,Web,Bachelor,0
50229,47.0,26.0,7225.0,Software,Master,0
50230,28.0,0.0,9285.0,Data,Bachelor,0
50231,53.0,27.0,12520.0,AI,Master,1
50232,59.0,30.0,10529.0,Data,Master,0
50233,31.0,1.0,,Software,Bachelor,0
50234,38.0,17.0,8384.0,AI,Master,1
50235,50.0,29.0,8911.0,Web,Bachelor,0
50236,23.0,0.0,3687.0,Software,Master,0
50237,54.0,29.0,11064.0,Software,Bachelor,0
50238,40.0,15.0,7666.0,Cloud,Master,0
50239,34.0,4.0,8791.0,Web,Master,0
50240,47.0,25.0,10476.0,Cloud,Bachelor,0
50241,46.0,24.0,8065.0,Web,Master,0
50242,56.0,30.0,13523.0,Data,Master,0
50243,29.0,5.0,10603.0,Software,Bachelor,0
50244,34.0,8.0,8570.0,Web,Master,0
50245,60.0,30.0,5464.0,Data,Master,0
50246,52.0,26.0,4265.0,Software,Bachelor,1
50247,35.0,4.0,12196.0,Web,Master,0
50248,47.0,25.0,13154.0,Cloud,Master,0
50249,42.0,18.0,8496.0,Data,Bachelor,0
50250,58.0,27.0,11755.0,Software,Master,0
50251,21.0,0.0,2000.0,AI,Bachelor,0
50252,34.0,9.0,6469.0,Data,Bachelor,0
50253,38.0,15.0,9832.0,Data,PhD,0
50254,29.0,2.0,11595.0,Web,Master,0
50255,30.0,8.0,8451.0,Software,Master,0
50256,21.0,0.0,7788.0,Cloud,Bachelor,0
50257,57.0,29.0,7996.0,Software,Bachelor,0
50258,43.0,12.0,9226.0,AI,Master,0
50259,36.0,15.0,5921.0,Data,Bachelor,0
50260,44.0,15.0,6926.0,Cloud,Bachelor,0
50261,35.0,10.0,6460.0,AI,Bachelor,0
50262,36.0,10.0,9921.0,Web,,0
50263,37.0,6.0,8070.0,Cloud,Master,0
50264,56.0,29.0,4778.0,AI,Master,0
50265,,27.0,3426.0,Data,Bachelor,0
50266,30.0,3.0,9057.0,AI,Master,0
50267,24.0,0.0,3998.0,Software,Bachelor,0
50268,,28.0,9399.0,Software,Master,0
50269,26.0,0.0,14740.0,Data,Bachelor,0
50270,57.0,26.0,2813.0,Data,Master,1
50271,24.0,2.0,8724.0,Data,Master,0
50272,38.0,17.0,9223.0,Web,PhD,0
50273,44.0,17.0,7831.0,Cloud,Master,0
50274,22.0,0.0,9112.0,Software,Bachelor,0
50275,22.0,0.0,11756.0,AI,Master,0
50276,44.0,17.0,6863.0,Software,Bachelor,0
50277,40.0,15.0,8170.0,Data,Bachelor,0
50278,47.0,21.0,11440.0,Software,Master,0
50279,36.0,13.0,8401.0,Data,Bachelor,0
50280,58.0,30.0,3785.0,AI,Bachelor,0
50281,29.0,6.0,9038.0,Web,PhD,0
50282,55.0,30.0,10007.0,Data,Bachelor,1
50283,38.0,10.0,5748.0,Data,Bachelor,0
50284,39.0,12.0,6213.0,Data,Bachelor,0
50285,34.0,10.0,7207.0,AI,Master,0
50286,47.0,17.0,6595.0,Data,Master,0
50287,28.0,0.0,6491.0,Software,Master,0
50288,29.0,1.0,6989.0,Software,Bachelor,0
50289,54.0,30.0,8416.0,Web,Bachelor,1
50290,47.0,26.0,9004.0,Web,Bachelor,0
50291,43.0,15.0,8935.0,Cloud,Master,0
50292,52.0,21.0,9414.0,Data,Master,1
50293,30.0,1.0,12167.0,AI,PhD,0
50294,42.0,17.0,8614.0,Cloud,Bachelor,0
50295,,30.0,5043.0,Software,Bachelor,1
50296,34.0,7.0,7720.0,Software,Bachelor,0
50297,31.0,9.0,2718.0,Cloud,Bachelor,0
50298,22.0,1.0,10602.0,AI,Bachelor,0
50299,55.0,30.0,13775.0,AI,Bachelor,1
50300,38.0,12.0,5721.0,Web,Bachelor,0
50301,26.0,0.0,11733.0,AI,Master,0
50302,33.0,10.0,10246.0,Cloud,Bachelor,0
50303,23.0,0.0,7399.0,Software,Bachelor,0
50304,57.0,30.0,7704.0,Data,Bachelor,0
50305,50.0,20.0,6527.0,Data,Bachelor,0
50306,28.0,6.0,8368.0,Cloud,Bachelor,0
50307,58.0,29.0,6736.0,Software,Bachelor,0
50308,21.0,0.0,13515.0,Data,Master,0
50309,48.0,17.0,5515.0,Web,Bachelor,0
50310,32.0,2.0,11146.0,Cloud,Master,0
50311,47.0,24.0,11866.0,Software,PhD,0
50312,39.0,14.0,4090.0,AI,Bachelor,0
50313,59.0,30.0,6868.0,Web,Bachelor,0
50314,31.0,0.0,13326.0,Data,Bachelor,0
50315,50.0,26.0,9493.0,Software,Bachelor,1
50316,50.0,23.0,10575.0,Data,Master,1
50317,29.0,5.0,10360.0,Web,Master,0
50318,34.0,12.0,6618.0,AI,Master,0
50319,51.0,22.0,8036.0,Web,Bachelor,0
50320,28.0,0.0,2000.0,Cloud,Master,0
50321,30.0,0.0,10707.0,Web,Master,0
50322,28.0,3.0,10293.0,Software,Bachelor,0
50323,22.0,0.0,10339.0,AI,Bachelor,0
50324,53.0,30.0,9946.0,Data,Master,1
50325,46.0,15.0,10440.0,Data,Bachelor,0
50326,25.0,3.0,4337.0,Software,Master,0
50327,21.0,0.0,3277.0,Web,Bachelor,0
50328,,14.0,6430.0,Data,Master,1
50329,47.0,25.0,5047.0,AI,Master,0
50330,41.0,16.0,11419.0,AI,Bachelor,0
50331,29.0,0.0,6388.0,Cloud,Master,0
50332,32.0,4.0,9102.0,Data,Master,0
50333,46.0,17.0,4772.0,AI,Master,1
50334,54.0,30.0,11742.0,Web,Master,0
50335,47.0,18.0,11586.0,Web,Bachelor,1
50336,47.0,20.0,2000.0,Cloud,Bachelor,0
50337,58.0,27.0,9381.0,Web,Bachelor,0
50338,54.0,27.0,7058.0,AI,Master,0
50339,31.0,8.0,8114.0,Web,Bachelor,0
50340,33.0,4.0,7874.0,Software,Bachelor,0
50341,45.0,21.0,6145.0,Web,Bachelor,0
50342,50.0,22.0,11753.0,Data,Master,0
50343,39.0,13.0,7008.0,Data,Master,0
50344,41.0,15.0,3524.0,Data,Master,0
50345,45.0,15.0,7902.0,AI,Bachelor,0
50346,50.0,21.0,8497.0,Data,Master,0
50347,23.0,0.0,2674.0,Data,Master,0
50348,51.0,28.0,7419.0,Cloud,Bachelor,0
50349,30.0,7.0,7807.0,Data,Bachelor,0
50350,,6.0,8575.0,AI,Master,0
50351,25.0,3.0,9486.0,AI,Master,1
50352,45.0,15.0,6336.0,AI,Master,0
50353,44.0,19.0,10211.0,Web,Bachelor,0
50354,55.0,30.0,8866.0,Data,Master,1
50355,22.0,0.0,4794.0,AI,Bachelor,0
50356,24.0,1.0,7257.0,Cloud,Bachelor,0
50357,46.0,22.0,9319.0,Data,Master,0
50358,57.0,26.0,6977.0,Web,Bachelor,0
50359,51.0,20.0,8792.0,Software,Master,0
50360,32.0,2.0,4050.0,Data,Master,1
50361,58.0,27.0,4729.0,Cloud,Master,1
50362,51.0,20.0,11396.0,Web,Master,0
50363,54.0,30.0,9042.0,,Bachelor,0
50364,28.0,0.0,7320.0,Web,Bachelor,0
50365,53.0,30.0,8530.0,AI,Bachelor,1
50366,60.0,30.0,10362.0,AI,Master,1
50367,56.0,25.0,9778.0,AI,Bachelor,0
50368,43.0,14.0,8811.0,Cloud,Master,1
50369,56.0,26.0,6472.0,AI,Bachelor,0
50370,22.0,0.0,2448.0,Software,Bachelor,0
50371,22.0,0.0,7713.0,Web,Bachelor,0
50372,36.0,10.0,7344.0,Software,Bachelor,0
50373,47.0,18.0,12606.0,Cloud,Bachelor,0
50374,46.0,25.0,9168.0,AI,Bachelor,0
50375,30.0,7.0,11720.0,Cloud,Master,0
50376,48.0,17.0,6442.0,Data,Master,0
50377,38.0,16.0,9365.0,Data,Bachelor,0
50378,34.0,13.0,8946.0,Software,Bachelor,0
50379,38.0,8.0,5822.0,Data,Bachelor,0
50380,59.0,30.0,6522.0,Software,Bachelor,0
50381,35.0,8.0,5983.0,Data,Master,0
50382,37.0,12.0,11608.0,AI,Master,0
50383,31.0,3.0,9839.0,AI,Master,0
50384,28.0,5.0,4486.0,AI,Bachelor,0
50385,46.0,24.0,3979.0,Data,Bachelor,0
50386,53.0,29.0,9338.0,Software,Master,0
50387,45.0,19.0,6748.0,Software,Master,0
50388,58.0,30.0,8177.0,Cloud,Master,0
50389,25.0,0.0,11787.0,Web,Master,0
50390,49.0,26.0,11179.0,AI,Bachelor,1
50391,41.0,14.0,10466.0,Web,Bachelor,0
50392,30.0,2.0,6645.0,Data,Bachelor,0
50393,25.0,4.0,8519.0,Software,Bachelor,0
50394,33.0,3.0,10490.0,Software,Bachelor,0
50395,29.0,0.0,8124.0,Web,Master,0
50396,50.0,22.0,5759.0,Data,Bachelor,0
50397,47.0,23.0,4774.0,Software,Bachelor,0
50398,22.0,0.0,9136.0,Data,Bachelor,0
50399,21.0,0.0,5657.0,Web,Master,0
50400,32.0,5.0,7313.0,Data,Bachelor,0
50401,49.0,27.0,6044.0,AI,Master,0
50402,40.0,10.0,10604.0,Data,Master,0
50403,,0.0,11369.0,Web,Bachelor,0
50404,27.0,2.0,14006.0,Data,Master,0
50405,60.0,30.0,4324.0,Software,Bachelor,1
50406,55.0,24.0,9691.0,Web,Master,0
50407,46.0,15.0,10113.0,Software,Master,0
50408,53.0,27.0,3865.0,Web,Bachelor,0
50409,50.0,25.0,11978.0,AI,Master,1
50410,50.0,20.0,14077.0,Data,Bachelor,0
50411,40.0,10.0,11822.0,Data,Bachelor,0
50412,34.0,5.0,7242.0,Web,Bachelor,0
50413,57.0,30.0,4149.0,Software,Master,0
50414,55.0,24.0,8303.0,Data,Bachelor,0
50415,32.0,1.0,11899.0,AI,Master,0
50416,52.0,30.0,9688.0,Software,Bachelor,1
50417,38.0,14.0,7958.0,AI,Bachelor,0
50418,40.0,19.0,12817.0,Cloud,Master,0
50419,32.0,9.0,10510.0,Data,Bachelor,0
50420,29.0,4.0,11409.0,AI,Master,0
50421,26.0,0.0,5729.0,Cloud,Bachelor,0
50422,23.0,0.0,11092.0,AI,Master,0
50423,22.0,0.0,7253.0,Web,Bachelor,0
50424,44.0,15.0,9190.0,Cloud,Bachelor,0
50425,45.0,20.0,7403.0,Web,Master,0
50426,23.0,0.0,9032.0,Cloud,Master,1
50427,52.0,22.0,7364.0,Software,Master,0
50428,43.0,17.0,8905.0,AI,Master,0
50429,44.0,16.0,2000.0,Data,Bachelor,1
50430,21.0,0.0,4207.0,Software,PhD,0
50431,39.0,18.0,13787.0,Web,Master,0
50432,51.0,23.0,6357.0,Web,Bachelor,0
50433,34.0,13.0,6514.0,Data,Bachelor,0
50434,56.0,30.0,7792.0,AI,Bachelor,0
50435,47.0,24.0,2000.0,AI,PhD,0
50436,54.0,25.0,9224.0,Software,Master,0
50437,37.0,9.0,,Data,,0
50438,54.0,24.0,9135.0,Data,Bachelor,1
50439,58.0,30.0,14987.0,AI,Bachelor,1
50440,48.0,19.0,6909.0,Cloud,Master,0
50441,37.0,11.0,5409.0,Software,Bachelor,0
50442,54.0,30.0,12275.0,Data,Bachelor,1
50443,28.0,7.0,6627.0,Cloud,Master,0
50444,29.0,2.0,11519.0,Cloud,Bachelor,0
50445,58.0,30.0,10159.0,Software,Master,0
50446,50.0,26.0,10189.0,Software,PhD,1
50447,21.0,0.0,8308.0,Software,Master,0
50448,49.0,28.0,4865.0,Software,Master,0
50449,47.0,20.0,3232.0,AI,Bachelor,0
50450,42.0,20.0,7518.0,AI,Bachelor,0
50451,26.0,0.0,3808.0,Web,Master,0
50452,39.0,12.0,6765.0,Software,Bachelor,0
50453,43.0,19.0,4830.0,Software,Master,1
50454,49.0,27.0,6597.0,Web,Bachelor,0
50455,53.0,30.0,7425.0,Web,Bachelor,0
50456,21.0,0.0,9463.0,Data,Master,0
50457,38.0,15.0,6772.0,Data,Master,0
50458,28.0,0.0,8897.0,Cloud,Bachelor,0
50459,41.0,19.0,10651.0,Data,Bachelor,0
50460,35.0,9.0,6912.0,Software,Bachelor,0
50461,34.0,11.0,11070.0,Data,Bachelor,0
50462,56.0,28.0,10440.0,AI,Bachelor,0
50463,,8.0,3171.0,Software,Master,0
50464,41.0,16.0,7709.0,Software,Master,0
50465,36.0,10.0,12841.0,Web,Bachelor,1
50466,35.0,11.0,11182.0,Cloud,Bachelor,0
50467,38.0,15.0,5759.0,AI,PhD,0
50468,34.0,4.0,14023.0,Data,Bachelor,0
50469,33.0,5.0,6246.0,Data,Bachelor,1
50470,35.0,4.0,5123.0,Data,Master,0
50471,,30.0,11584.0,Data,Master,0
50472,58.0,28.0,5284.0,Data,Bachelor,0
50473,35.0,10.0,6867.0,AI,Master,0
50474,22.0,0.0,7182.0,Cloud,Bachelor,0
50475,35.0,8.0,10846.0,Web,Master,0
50476,36.0,15.0,8713.0,Data,Bachelor,0
50477,33.0,8.0,10093.0,Software,Bachelor,0
50478,55.0,26.0,7910.0,AI,Bachelor,0
50479,54.0,23.0,2844.0,Cloud,PhD,1
50480,56.0,28.0,9214.0,Data,Bachelor,0
50481,60.0,30.0,6523.0,AI,Master,1
50482,22.0,0.0,8479.0,Software,Master,0
50483,53.0,25.0,6977.0,Software,Master,1
50484,34.0,12.0,10652.0,Data,Master,0
50485,48.0,24.0,7551.0,AI,Master,1
50486,22.0,0.0,3091.0,Software,PhD,0
50487,59.0,30.0,5471.0,Software,Master,0
50488,33.0,12.0,5966.0,Cloud,Bachelor,0
50489,22.0,0.0,5419.0,Web,Bachelor,0
50490,35.0,10.0,15362.0,Cloud,Bachelor,0
50491,58.0,30.0,5125.0,Cloud,Master,0
50492,28.0,7.0,6342.0,AI,PhD,1
50493,32.0,4.0,5540.0,AI,Master,1
50494,60.0,30.0,3260.0,Data,PhD,1
50495,41.0,10.0,9091.0,Web,Master,0
50496,21.0,0.0,6756.0,Web,Bachelor,0
50497,41.0,10.0,11846.0,AI,Bachelor,0
50498,30.0,8.0,12381.0,Web,Bachelor,0
50499,50.0,24.0,6140.0,AI,Master,1
50500,47.0,19.0,2000.0,AI,Bachelor,0
50501,48.0,17.0,6363.0,Web,Bachelor,0
50502,41.0,11.0,10136.0,Software,Bachelor,0
50503,49.0,24.0,6789.0,Cloud,,0
50504,44.0,20.0,6648.0,Web,Bachelor,0
50505,49.0,18.0,8529.0,Cloud,Master,1
50506,21.0,0.0,7846.0,AI,Bachelor,0
50507,26.0,2.0,5637.0,Web,Master,0
50508,35.0,9.0,9885.0,Cloud,Bachelor,0
50509,25.0,3.0,5077.0,Cloud,Bachelor,0
50510,41.0,10.0,11711.0,Software,Master,0
50511,58.0,28.0,13442.0,AI,Master,1
50512,24.0,,11966.0,AI,Bachelor,0
50513,57.0,30.0,5276.0,Data,PhD,0
50514,33.0,4.0,4892.0,Data,Master,0
50515,35.0,9.0,10095.0,Software,Master,0
50516,42.0,20.0,8528.0,Web,Bachelor,0
50517,44.0,14.0,4923.0,Software,Master,0
50518,39.0,11.0,7792.0,Data,Bachelor,0
50519,42.0,17.0,6870.0,Software,Master,1
50520,42.0,21.0,7735.0,Web,Master,0
50521,35.0,12.0,8984.0,Cloud,Bachelor,0
50522,27.0,0.0,6598.0,Software,Bachelor,0
50523,54.0,24.0,,Software,Master,0
50524,43.0,15.0,2000.0,Web,Master,0
50525,26.0,0.0,12057.0,Data,Bachelor,0
50526,54.0,24.0,5027.0,AI,Bachelor,0
50527,40.0,13.0,13256.0,Cloud,Bachelor,1
50528,29.0,0.0,7888.0,Web,Master,0
50529,32.0,9.0,9080.0,Software,Bachelor,0
50530,40.0,10.0,6954.0,Cloud,Bachelor,0
50531,25.0,1.0,8129.0,Data,Master,0
50532,33.0,11.0,10238.0,Web,Master,0
50533,56.0,27.0,2000.0,Software,Bachelor,0
50534,28.0,7.0,12715.0,Data,Bachelor,0
50535,23.0,1.0,10758.0,Data,PhD,0
50536,58.0,30.0,3738.0,Web,Bachelor,0
50537,59.0,29.0,11273.0,Data,Master,1
50538,37.0,9.0,5362.0,Software,Bachelor,0
50539,40.0,11.0,7545.0,Web,Bachelor,0
50540,21.0,0.0,8243.0,Data,Bachelor,0
50541,34.0,3.0,5205.0,Data,Master,0
